GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Minesweeperv3,default,Field,848,0,116,0,120,0,66,0,8,0
Minesweeperv3,default,CellsGenerator,153,0,14,0,30,0,12,0,5,0
Minesweeperv3,default,Main,260,0,46,0,67,0,31,0,8,0
Minesweeperv3,default,Cells,85,0,12,0,32,0,15,0,9,0
